scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
A-1,2000,4,125.4222305001349,139.25165894970633,203.62952860993119,7.849670692011964
A-1,2000,8,124.63375550009914,136.03852829987773,203.96916198007148,7.901090211728986
A-1,2000,12,122.40248549983335,132.66555465031615,196.3501957500648,8.04899217595357
A-1,2000,16,122.68830449988855,134.67032989999552,194.06480298035603,8.015112183869922
A-1,6000,4,122.54533350005659,133.0627749001451,197.95173831002103,8.030148094745893
A-1,6000,8,123.7366689999817,134.40153519970863,197.6657986201417,7.968924554128743
A-1,6000,12,123.13158899996779,134.67805455015878,202.0484455699443,8.009522888149315
A-1,6000,16,124.55326100007369,135.39059464992533,200.57382971025163,7.916186681445484
A-1,12000,4,123.40223850060283,132.63429375006126,194.85895626979982,7.988224735575421
A-1,12000,8,123.19876049969025,134.2504167500465,196.53707562010823,8.007818184273061
A-1,12000,12,123.66158499935409,133.5293646496666,192.5883950995103,7.9792819404943085
A-1,12000,16,123.61487499993018,133.98634260006475,197.6897202398959,7.972102430304001
