scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
C-1,2000,4,0.06009050002830918,0.41191444997821236,1.3943785798915087,9325.329216757344
C-1,2000,8,0.11166300009790575,0.34272394992740374,1.0015198300766315,7289.335294331807
C-1,2000,12,0.10590449994651863,0.48525764988198716,0.8500313199238008,6940.698876942946
C-1,2000,16,0.055093500009206764,0.5645601999503924,1.676573009974618,8823.37474321082
C-1,6000,4,0.08770550005010591,0.2787445500416652,0.9539412600497599,8385.15287937003
C-1,6000,8,0.06178550006552541,0.18407594989184872,1.2369219699326095,10301.272032060224
C-1,6000,12,0.06929850007963978,0.17846585005827365,0.8895811499633055,10443.557739949334
C-1,6000,16,0.05535999991934659,0.16071749985258066,0.40455005003877886,14385.808687636432
C-1,12000,4,0.07175549990279251,0.20459200015920942,0.5654996200041751,9624.61869675173
C-1,12000,8,0.07118650000847992,0.3019601501023317,0.8525445500640672,9023.91717060896
C-1,12000,12,0.07688549999329553,0.2823490499849868,0.5427014498650351,8647.814718925087
C-1,12000,16,0.0584445000413325,0.16589260005730466,0.4182243899867899,13659.250331139632
